"Keyword Version: static","Revision: 2022-01-10 17:52:40","Timestamp: 2022-01-19 17:23:35","Terms Of Use: https://cdn.earthdata.nasa.gov/conduit/upload/5182/KeywordsCommunityGuide_Baseline_v1_SIGNED_FINAL.pdf","The most up to date XML representations can be found here: https://gcmd.uat.earthdata.nasa.gov/kms/concepts/concept_scheme/platforms/?format=xml","Case native"
"Air-based Platforms","Jet","","NASA DC-8","NASA Douglas DC-8","a930c78a-6ed3-4a49-ad2d-bd2c5c36d291"
"Air-based Platforms","Jet","","NASA ER-2","NASA Earth Resources-2","b16010e6-c7ea-4c98-929e-3f844ca2f2c2"
"Air-based Platforms","Jet","","NASA S-3B VIKING","","7f1568aa-e87e-4b83-a622-e8f8a03f75bd"
"Air-based Platforms","Jet","","NASA WB-57F","","701c4a38-b7f2-41de-ab5f-d1c8ad76a717"
"Air-based Platforms","Jet","","NSF/NCAR C-130","NSF/NCAR Hercules C130 Aircraft","3a59dbd3-86c4-47dd-aeb1-935c657aa544"
"Air-based Platforms","Jet","","NSF/NCAR GV HIAPER","NSF/NCAR Gulfstream GV Aircraft","879d697c-381f-45df-a48d-2d9095bc5c54"
"Air-based Platforms","Jet","","UND CITATION II","","7f2883c4-bbaf-4150-93d8-dc48716476ca"
"Air-based Platforms","Jet","","","","5b8e4067-db4e-42d4-b4a5-7de5e683125d"
"Air-based Platforms","Propeller","","AC-500S","Rockwell Aero Commander AC-500S","20d7a6a7-1c69-469b-ac53-92078dcb2a67"
"Air-based Platforms","Propeller","","AC-680E","Rockwell Aero Commander AC-680E","3ecc7e27-1cf9-4c7d-817f-557752323560"
"Air-based Platforms","Propeller","","AC-690A","Aerocommander aircraft","6fa682b9-c6b5-46ca-971f-b7ecd4bf304d"
"Air-based Platforms","Propeller","","B-200","Beechcraft King Air B-200","d6aa2406-0323-43c1-b890-3509ee22784e"
"Air-based Platforms","Propeller","","BE-200","Beechcraft King Air BE-200","a2128496-3729-45ff-9feb-20b9b700470b"
"Air-based Platforms","Propeller","","BT-67","Basler BT-67","1bfe5750-3641-4ff1-b8bf-40deb163abf0"
"Air-based Platforms","Propeller","","C-130","Lockheed C-130 Hercules","a790e30f-5a13-4188-befb-2647a884034b"
"Air-based Platforms","Propeller","","C-131A","Convair C-131 Samaritan","0fa676d8-e487-4905-81c7-1a98150e86c8"
"Air-based Platforms","Propeller","","C-185","Cessna 185","04da5a44-7299-4d07-b85f-26db1552d00a"
"Air-based Platforms","Propeller","","C-23 Sherpa","Short Brothers C-23 Sherpa","abe97ffb-af51-43b2-a1d4-a922ddf9bc6e"
"Air-based Platforms","Propeller","","CESSNA 172 SKYHAWK","","ee829117-a171-4500-a0a5-81cac07f1071"
"Air-based Platforms","Propeller","","CESSNA 188","","80374e6d-fef6-4b11-bcc4-53568a3db220"
"Air-based Platforms","Propeller","","CESSNA 206","","ebf5d441-db97-4691-a8fc-08b4afdbac46"
"Air-based Platforms","Propeller","","CESSNA 320","","e10cf52f-a68a-4593-896b-8fe3d17483fe"
"Air-based Platforms","Propeller","","CESSNA SINGLE-ENGINE AIRCRAFT","CESSNA SINGLE-ENGINE AIRCRAFT","d80f3d86-ab38-4c27-82c5-aeae2b4c3370"
"Air-based Platforms","Propeller","","CONVAIR CV-580","CONVAIR CV-580","0b69c56f-5aaa-46a2-83da-9c4cffc7c181"
"Air-based Platforms","Propeller","","Cessna Pelican","","c97d09d4-4966-42ed-a6c7-4330a1e76edf"
"Air-based Platforms","Propeller","","Convair-580","Aircraft operated by University of Washington","9fd64ddf-4c61-45ae-8721-aa306829a165"
"Air-based Platforms","Propeller","","DHC-3","DeHavilland DHC-3 Otter","aef364b1-6a71-49c0-b248-6dc1ecd4eaa3"
"Air-based Platforms","Propeller","","DHC-6","DeHavilland Twin Otter","a3d03059-eeec-4afd-b3f1-c24a1fcf3862"
"Air-based Platforms","Propeller","","FOKKER F27","","050f6aee-d3c0-4d1c-9c88-86c9e5ac9e81"
"Air-based Platforms","Propeller","","G-1 AIRCRAFT","G-1 Aircraft","c285cedc-7581-4abc-aeee-978ffd3a8879"
"Air-based Platforms","Propeller","","GULFSTREAM 1000 (695A)","Gulfstream Jet Prop Commander 1000 (695a)","365c9e65-c156-4763-968a-a3e53e8accff"
"Air-based Platforms","Propeller","","HC-130","HC-130","8e7d2140-fbbb-4169-ba3e-e6d1fe6c7cf8"
"Air-based Platforms","Propeller","","KINGAIR","","a805fcaf-f9c2-4bca-8496-4b0dc032c016"
"Air-based Platforms","Propeller","","King Air","Beechcraft King Air","f959e3c5-f014-40b7-a134-4d41b616f79d"
"Air-based Platforms","Propeller","","LA-27","Lake Seawolf LA-27","c88b260b-2acd-417e-9c82-3a8226b4e218"
"Air-based Platforms","Propeller","","LEARJET","","5c7ba790-030e-4cd6-99e8-9fe9809c5052"
"Air-based Platforms","Propeller","","NASA ELECTRA","","b1a1eda8-55a5-43a0-a984-239ab657be68"
"Air-based Platforms","Propeller","","NASA P-3","","45abac35-586f-4fed-ac38-5dcd59af2cc5"
"Air-based Platforms","Propeller","","NCAR ELECTRA","NCAR ELECTRA","fdb96a23-16f4-4df4-a60b-a4d1123587ce"
"Air-based Platforms","Propeller","","NOAA Twin Otter","NOAA De Havilland DHC-6-300 Twin Otter","ef194fe1-50e0-4ba7-943a-c87c6f5e72c1"
"Air-based Platforms","Propeller","","NP-3C Orion","Naval Research Lab P-3C Orion","fb9f4171-b9b6-4627-9c79-1d3b5890dfc4"
"Air-based Platforms","Propeller","","NRL P-3","Aircraft operated by Naval Research Lab","02d1826b-a34b-4773-a61d-de91677eb8bd"
"Air-based Platforms","Propeller","","P-3A ORION","Lockheed P-3A Orion","29564e60-e0d6-4d5d-9999-97b9cd16a034"
"Air-based Platforms","Propeller","","P-3B","Lockheed P-3B Orion","eb80f2b1-4c2f-4cbb-8cb2-40a7613edff3"
"Air-based Platforms","Propeller","","PA-12","Piper PA-12 Super Cruiser","3a710b96-89c3-4783-b811-e9c5a3f3784f"
"Air-based Platforms","Propeller","","PIPER AZTEC","","03c57589-9fc0-4ffb-b0c4-73a6e065a74f"
"Air-based Platforms","Propeller","","PIPER NAVAJO CHIEFTAIN","PIPER NAVAJO CHIEFTAIN","993d2657-71e9-4c5a-b456-ffce88699c55"
"Air-based Platforms","Propeller","","SA Mooney","Scientific Aviation Mooney","32e58bec-22e7-406e-bded-20d97de35f64"
"Air-based Platforms","Propeller","","SKYVAN","","7ec84078-8ced-4e7f-9a8c-781cc5d2bd8d"
"Air-based Platforms","Propeller","","T-39","Rockwell Sabreliner T-39","d3a21a28-538b-4292-9570-5fd3da9ce4d2"
"Air-based Platforms","Propeller","","TWIN OTTER CIRPAS NPS","","eaa3cf37-b738-47ae-abac-7c430d4ecdc7"
"Air-based Platforms","Propeller","","UC-12B","NASA Langley Beechcraft UC-12B Huron","18cb3d65-a7ab-4220-b7e3-38b98ce04ac7"
"Air-based Platforms","Propeller","","UMD Cessna","University Of Maryland Cessna 402B Research Aircraft","1d0fbb34-9f52-41cc-8b83-b45af8e58777"
"Air-based Platforms","Propeller","","UWKA","University of Wyoming King Air","64b518f5-2026-4c5b-9bae-9fa55b5b5778"
"Air-based Platforms","Propeller","","WC-130J","Lockheed-Martin WC-130J Hercules","8b1791fe-cef8-4883-a634-b3963a39c8a6"
"Air-based Platforms","Propeller","","WP-3D ORION","Lockheed WP-3D Orion","5a9f3704-2947-483b-8fe7-992692c9f289"
"Air-based Platforms","Propeller","","","","6175c78e-432c-4254-b442-40d3cf0f6b34"
"Air-based Platforms","Rockets","","ROCKETS","","c2a3f38e-524a-46ee-ac1b-2a12910e6bdd"
"Air-based Platforms","Rockets","","","","812304fb-2eaf-4ce8-ac49-2de68c025927"
"Air-based Platforms","Rotorcraft/Helicopter","","AS350-B2","Helicopter AS350-B2","50ce4651-516f-4b05-a5e0-864617ec26eb"
"Air-based Platforms","Rotorcraft/Helicopter","","AS350-B3","Helicopter AS350-B3","ad1d4887-ac0d-43a0-9e9b-b42172befebc"
"Air-based Platforms","Rotorcraft/Helicopter","","AS355-F2","Helicopter AS355-F2","770c3b12-d083-4df9-8b36-27a4786794bb"
"Air-based Platforms","Rotorcraft/Helicopter","","HELICOPTER","HELICOPTER","06e037ed-f463-4fa3-a23e-8f694b321eb1"
"Air-based Platforms","Rotorcraft/Helicopter","","","","610cd524-ed33-44c2-811c-66bd27b9b3ea"
"Air-based Platforms","Sounding Rockets","","SOUNDING ROCKETS","","3b3bc1cb-312d-448c-8cdf-a8de43bb540a"
"Air-based Platforms","Sounding Rockets","","Titan 34D","","9e9e86b0-d613-4069-abe2-8291a6fac3ef"
"Air-based Platforms","Sounding Rockets","","Titan IIID","","a044e8ff-8225-4bba-85c4-80ea394e007b"
"Air-based Platforms","Sounding Rockets","","","","db2063ed-c27a-41e2-9e40-9f2f7e63f94b"
"Air-based Platforms","Uncrewed Aerial Vehicles","","AEROSONDE","","6be3bc48-c307-4583-8357-34262cf8f35d"
"Air-based Platforms","Uncrewed Aerial Vehicles","","ALTUS","","46392889-f6e2-4b06-8f79-87f2ff9d4349"
"Air-based Platforms","Uncrewed Aerial Vehicles","","GLOBAL HAWK UAV","","f3494b27-4de0-45d9-9a5b-8dae39785182"
"Air-based Platforms","Uncrewed Aerial Vehicles","","IKHANA","Ikhana Unmanned Science and Research Aircraft System","6c58928b-d25f-46cf-a8a6-3d5a27cc2248"
"Air-based Platforms","Uncrewed Aerial Vehicles","","NASA GLOBAL HAWK 872 AIRCRAFT","NASA unmanned Global Hawk aircraft number 872","8f3ab728-820e-4723-8807-c1f1e6e4a1b0"
"Air-based Platforms","Uncrewed Aerial Vehicles","","RQ-4","Northrop Grumman RQ-4 Global Hawk","e5aedd55-cce6-417c-97c0-595448406ad5"
"Air-based Platforms","Uncrewed Aerial Vehicles","","UAV","Unmanned Aerial Vehicle","9b6da136-51c7-4941-8023-5826be7a9273"
"Air-based Platforms","Uncrewed Aerial Vehicles","","","","841ec82d-fdea-466c-8436-68ed93d6d6de"
"Air-based Platforms","","","","","ef71c514-0fec-4354-bb1e-6baa5967634f"
"Land-based Platforms","Field Sites","","AES","Atmospheric Environment Service","04dae41e-7a74-4750-89b6-1ea717cce9d2"
"Land-based Platforms","Field Sites","","CONTROL SURVEYS","","9909bdb4-b48b-40b0-88b3-360f9b86d0bc"
"Land-based Platforms","Field Sites","","Data Collections","","c10044b3-6ebc-413a-99b7-2be30c08e507"
"Land-based Platforms","Field Sites","","FIELD INVESTIGATION","FIELD INVESTIGATION","c7b39580-1632-4951-aecd-cee1c1afc5a0"
"Land-based Platforms","Field Sites","","FIELD SURVEYS","FIELD SURVEYS","cca1ba09-0595-4ab0-a28f-158f988e9301"
"Land-based Platforms","Field Sites","","Ice Shelf","","dd445d5a-14d5-4813-b1cb-243799a044f7"
"Land-based Platforms","Field Sites","","RADIO TRANSMITTERS","","e7057cfa-7b76-494b-b07b-01d1b284bfc6"
"Land-based Platforms","Field Sites","","TRIPOD","","9c44243f-3122-4f7f-98b1-fb4e729418e0"
"Land-based Platforms","Field Sites","","","","ca8f355b-7f63-407d-89bb-d3a6cd10d683"
"Land-based Platforms","Permanent Land Sites","","ACARS","ACARS Ground Receiving Station","c1b6934c-bcb3-45f3-bc53-60d856ac7ea1"
"Land-based Platforms","Permanent Land Sites","","AGBFM","Advanced Ground Based Field Mill","0b011fe7-4a05-4e04-92f6-fa23b9e85e1a"
"Land-based Platforms","Permanent Land Sites","","ANTHMS","Antarctic Hydrometric Stations","a7d17dd8-34f9-44ed-bb30-2742db429707"
"Land-based Platforms","Permanent Land Sites","","ARWS","Automatic Remote Weather Station","1fe1486b-3f7a-41a8-9400-98607b49ca3e"
"Land-based Platforms","Permanent Land Sites","","ASOS","Automated Surface Observing System","b8d95bb8-6841-4a77-8ae7-53375a98bf8f"
"Land-based Platforms","Permanent Land Sites","","AWOS","Automated Weather Observing System","51368be1-9b75-43de-8a73-e525c9b3848c"
"Land-based Platforms","Permanent Land Sites","","BAPMON","Background Air Pollution Monitoring Stations","cb5fc8b1-e8e3-4984-84ac-03f6f4d8a662"
"Land-based Platforms","Permanent Land Sites","","COASTAL STATIONS","COASTAL STATIONS","897f64c0-14e3-48d8-99fe-a589f57133d0"
"Land-based Platforms","Permanent Land Sites","","CODAR SeaSonde","","294cc889-28bc-4a33-b630-8225f559c3e7"
"Land-based Platforms","Permanent Land Sites","","ENTLN","Earth Networks Total Lightning Network (ENTLN)","1ab2e0db-8911-434d-a6ba-3917730e83a6"
"Land-based Platforms","Permanent Land Sites","","ESRL STATIONS","NOAA Earth Science Research Laboratory Stations","c775e963-be99-4dcf-8edd-ab826995dcba"
"Land-based Platforms","Permanent Land Sites","","FDSN","Federation of Digital Seismographic Networks","0768c45e-417b-4c35-aeb3-28e4325ef2d2"
"Land-based Platforms","Permanent Land Sites","","FIXED OBSERVATION STATIONS","FIXED OBSERVATION STATIONS","2219e7fa-9fd0-443d-ab1b-62d1ccf41a89"
"Land-based Platforms","Permanent Land Sites","","GAW","Global Atmospheric Stations","7effe54c-3378-470d-a0de-5eeab1109867"
"Land-based Platforms","Permanent Land Sites","","GEODYNAMIC STATIONS","","106de241-cb93-4ccc-8255-71784fd14b0c"
"Land-based Platforms","Permanent Land Sites","","GEOMAGNETIC STATIONS","","1fc48515-92a3-48a6-bbf0-61dfb23b1c9c"
"Land-based Platforms","Permanent Land Sites","","GEOMET","USGS Desert Winds Geological/Meteorological Ground Station","42f675c4-e14a-455c-b3f3-7cff1a7025f9"
"Land-based Platforms","Permanent Land Sites","","GMCC","NOAA Geophysical Monitoring for Climatic Change Stations","7e99dce7-ccef-4e44-a234-9af5ffa83e4f"
"Land-based Platforms","Permanent Land Sites","","GONG NETWORK","Global Oscillation Network Group","44c310ff-2688-48bd-a1eb-6e8a80a78bf0"
"Land-based Platforms","Permanent Land Sites","","GRAVITY STATIONS","","9a869e6f-df72-49dd-ac66-b9d319b9db77"
"Land-based Platforms","Permanent Land Sites","","GREAT WALL STATION","CHINESE GREAT WALL STATION","92aae4b1-cd4c-41b8-b931-4c2b70790baf"
"Land-based Platforms","Permanent Land Sites","","GROUND STATIONS","GROUND STATIONS","491d3fcc-c097-4357-b1cf-39ccf3592347"
"Land-based Platforms","Permanent Land Sites","","GROUND-BASED OBSERVATIONS","GROUND-BASED OBSERVATIONS","dbcead38-c78b-4306-b56f-0ea15c0b755b"
"Land-based Platforms","Permanent Land Sites","","GSN","Global Seismic Network","abb8c7fb-7b79-4eb3-8106-5152b8bdf8a3"
"Land-based Platforms","Permanent Land Sites","","IMPROVE","IMPROVE ambient monitoring network","d8b8c801-bc1a-4ecc-a8e8-6757e9aeddc4"
"Land-based Platforms","Permanent Land Sites","","IRIS-GSN","Incorporated Research Institutions for Seismology Network - Global Seismographic Network","5423963b-822b-4eac-8442-c9fab383f5e8"
"Land-based Platforms","Permanent Land Sites","","LDAR","Lightning Detection and Ranging","af4130b5-af02-4602-9e05-81405cfe6dc5"
"Land-based Platforms","Permanent Land Sites","","LPATS","Lightning Positioning and Tracking System Network","db3774b8-9dc1-4ae7-a999-80702cdfa41d"
"Land-based Platforms","Permanent Land Sites","","MESONET","Mesoscale Meteorological Network","3232dc8a-d223-4df2-b64a-4bd4fb632f9e"
"Land-based Platforms","Permanent Land Sites","","METEOROLOGICAL STATIONS","METEOROLOGICAL STATIONS","9b51d8b7-1ad3-4ca4-985b-e178bb17f745"
"Land-based Platforms","Permanent Land Sites","","NEUTRON MONITOR STATIONS","","a5e3eadc-b8a0-4b3b-92e4-10ae18e3041f"
"Land-based Platforms","Permanent Land Sites","","NLDN","National Lightning Detection Network","081f2d22-ca33-437f-b945-57397fd24247"
"Land-based Platforms","Permanent Land Sites","","NPN","NOAA Profiler Network","522c7bf2-c8dd-42be-8596-742ccea0f99d"
"Land-based Platforms","Permanent Land Sites","","OBSERVATORIES","","ae0531ae-ee94-4861-bcd0-5b9000b87c38"
"Land-based Platforms","Permanent Land Sites","","PASSCAL","Program for Array Seismic Studies of the Continental Lithosphere","c0872e6c-ddab-43b9-a892-1b8c5ba23f4e"
"Land-based Platforms","Permanent Land Sites","","PMS","Permafrost Monitoring Stations","465b92cd-6189-4a04-8ee7-484a1da7722f"
"Land-based Platforms","Permanent Land Sites","","PROFS","Program for Regional Observing and Forecast Systems Mesonet","04c212d2-4091-452d-b672-92d19547f7c2"
"Land-based Platforms","Permanent Land Sites","","RSTN","Radio Solar Telescope Network","f56e3e86-8e09-44ac-a4bb-6da59e9dcc2c"
"Land-based Platforms","Permanent Land Sites","","SEISMOLOGICAL STATIONS","","182fc560-a2b1-4c9d-9acf-febe0e1bf179"
"Land-based Platforms","Permanent Land Sites","","SGO","Superconducting  Gravimeter Observatory","feb61055-a920-4fe3-90a2-caac0c4fd08a"
"Land-based Platforms","Permanent Land Sites","","SID","Sudden Ionospheric Disturbance Stations","73f8e476-b048-4f4d-b350-8987e3862e45"
"Land-based Platforms","Permanent Land Sites","","SMART-R","Shared Mobile Atmospheric Research and Teaching Radar","78d5b254-ae1d-4014-99a0-77e6ccd90e6f"
"Land-based Platforms","Permanent Land Sites","","SOLAR OBSERVATORY STATIONS","","5d5dddb9-ba89-49c4-bf06-d9abbe56b329"
"Land-based Platforms","Permanent Land Sites","","SOLAR RADIATION STATIONS","","30778eeb-9fab-4503-a230-1fc470f297ed"
"Land-based Platforms","Permanent Land Sites","","SOON","Solar Observing Optical Network","3ca305ea-d322-46f1-8aa4-469f8d3cdd59"
"Land-based Platforms","Permanent Land Sites","","STREAMFLOW STATION","STREAMFLOW STATION","7b335954-929b-4568-a758-1640d15c2504"
"Land-based Platforms","Permanent Land Sites","","SURFACE WATER WEIR","SURFACE WATER WEIR","a0dc24a6-75d5-48c4-aa94-0a0c9c4a440a"
"Land-based Platforms","Permanent Land Sites","","SURFRAD","Surface Radiation Budget Network","d5456efc-ae6c-4c68-8b5e-66e40226d897"
"Land-based Platforms","Permanent Land Sites","","TMRS2","Tower Mounted Radiometer System 2","e9046495-96f1-4f28-9ca0-9f35b10c7c14"
"Land-based Platforms","Permanent Land Sites","","VOLCANO OBSERVATORY","","7f62a51d-7391-418c-8589-b9a4e7d20452"
"Land-based Platforms","Permanent Land Sites","","Vaisala HydroMet AWS","Vaisala HydroMet Automatic Weather Station","6c9e32c9-bcc2-4e70-97a1-8a31a23ba65a"
"Land-based Platforms","Permanent Land Sites","","Vaisala WXT520","Vaisala Weather Transmitter WXT520","8c17b0a9-ae57-4aee-8c6b-8e7020513cc2"
"Land-based Platforms","Permanent Land Sites","","WEATHER STATIONS","WEATHER STATIONS","1551f765-cbb8-479f-a796-87c61868c509"
"Land-based Platforms","Permanent Land Sites","","WWLLN","World Wide Lightning Location Network","0b6bafa6-1cc4-47eb-9925-f72c6d6008fc"
"Land-based Platforms","Permanent Land Sites","","WeatherStation 200WX","AIRMAR 200WX WeatherStation","e9367c95-0a87-46e6-81d7-07171e5463a0"
"Land-based Platforms","Permanent Land Sites","","X-POW","X-band Polarimetric Weather Radar","8ba138b3-efea-491a-8595-e06bd53f7e2e"
"Land-based Platforms","Permanent Land Sites","","","","0ec10fd9-492c-498a-b6d8-e2840cc3643b"
"Land-based Platforms","Vehicles","","HAGGLUND","NZAP Hagglund Oversnow Vehicle","d308b30a-fdb5-44e1-9ce8-6b67051938f4"
"Land-based Platforms","Vehicles","","MIO","Mobile Ionospheric Observatory","a8cf26fe-dcfb-462b-ae0e-5d7280ecfa38"
"Land-based Platforms","Vehicles","","MIPS","Mobile Integrated Profiling System","4576f6dc-d2c6-460b-9001-248043a65765"
"Land-based Platforms","Vehicles","","NSRN","NOAA Solar Radiation Network","5f65fc52-a4f7-4ae0-a352-74fae989f9aa"
"Land-based Platforms","Vehicles","","PAM-II","Portable Automated Mesonet II","0e3131f5-f92d-441e-bba3-e28e55cfead7"
"Land-based Platforms","Vehicles","","PAM","Portable Automated Mesonet","7fe65a2b-756a-43a7-8ee6-d9ff2eb33f4c"
"Land-based Platforms","Vehicles","","SV","Snow Vehicle","eb24a648-bc31-48ad-935a-bbd2621da456"
"Land-based Platforms","Vehicles","","TRAVERSE","Logistic tractor traverse","ea573a26-c698-482d-9f1a-09193067bb46"
"Land-based Platforms","Vehicles","","","","8dc44d7b-e349-42ab-860e-18f5acfc1b28"
"Land-based Platforms","","","","","3850efdc-1839-4881-a7c0-347b57587850"
"Living Organism-based Platforms","Living Organism","","Living Organism","","ecc4a2bb-f195-4296-b300-c1227221b688"
"Living Organism-based Platforms","Living Organism","","","","6438d343-2e1f-4a89-97a9-b032e651163f"
"Living Organism-based Platforms","","","","","2385b75c-6ff2-41f8-9cd8-9b5225e4a862"
"Other","Charts","","Charts","","e9bd8b22-dc54-4bb5-b404-9ce41d7ac53d"
"Other","Charts","","","","018e1ad9-a5ad-4fae-a712-ba376144fcc3"
"Other","Maps","","MAPS","MAPS","8d56ab86-f13a-423b-b209-eca2baeb73ee"
"Other","Maps","","","","d53da93a-cc40-457a-a708-6bd4eeb1ffc1"
"Other","Models","Merged Analysis","IMERG","Integrated Multi-satellitE Retrievals for GPM","ddbadcdd-36dd-4db8-98c6-c603bec96c76"
"Other","Models","Merged Analysis","LANDMET","CCNY NOAA-CREST Land Surface Atmospheric Boundary Processing Method","e951dc1d-eeb5-4d67-ad77-e60ee469486c"
"Other","Models","Merged Analysis","Merged IR","NCEP/CPC L3 Half Hourly 4km Global (60S - 60N) Merged IR","98088db1-3135-4bbf-9a9b-215ca47d721b"
"Other","Models","Merged Analysis","RM-OBS/PU","Hybrid of NCEP/NCAR Reanalysis Model and Observations by Princeton University","0fb44090-a3e4-4820-aad5-dafbd76ae1b4"
"Other","Models","Merged Analysis","TMPA","TRMM Multi-Satellite Precipitation Analysis","eff6fbfa-3ccf-4848-89a2-b0b0e65e3524"
"Other","Models","Merged Analysis","","","6acce314-322f-4d58-9dcb-1f93457a9d86"
"Other","Models","","BLING","Biology Light Iron Nutrient and Gas model","750bc9c6-dda7-449a-9299-9473f03bb67b"
"Other","Models","","CAM-chem","Community Atmosphere Model with Chemistry","32204115-79a6-4cda-aac0-2f57580eb445"
"Other","Models","","CASA-GFED3-V2","Carnegie-Ames-Stanford-Approach Global Fire Emissions Database 3 V2","1a9082fc-2274-4f86-ad94-6034cae84ed5"
"Other","Models","","CASA-GFED3-V3","Carnegie-Ames-Stanford-Approach Global Fire Emissions Database 3 V3","c3a217f5-de08-4aeb-9429-0a29821820b5"
"Other","Models","","CESM","NCAR Community Earth System Model","1b492235-f1fa-47d9-aae5-278812d29e7d"
"Other","Models","","CHIRPS","Climate Hazards Group Infrared Precipitation with Stations","2f340c79-ed96-4c46-8546-90c14dca2078"
"Other","Models","","CLIMATE MODELS","CLIMATE MODELS","8680cb49-1637-4a47-a5fd-f39d4e618e45"
"Other","Models","","CLM-LSM","Common Land Model (CLM) Land Surface Model","d8e67ddc-abaf-469b-8e84-f1549c1ca70d"
"Other","Models","","CMORPH","","1810678e-9c36-4260-b9a2-eb69eda1ffe4"
"Other","Models","","CMS-Flux-V1","Carbon Monitoring System Flux V1","30a98319-e05b-4f35-9cdd-8f287f6c8300"
"Other","Models","","COMPUTERS","COMPUTERS","936822a8-ce02-49aa-970f-b4a92dfd769b"
"Other","Models","","CRM","Cloud Resolving Model","57441436-5372-484e-983c-f96cbc51ef72"
"Other","Models","","Catchment-LSM","Catchment Land Surface Model","09ef7548-5e64-4296-8129-0ab625e15721"
"Other","Models","","DEM","Digital Elevation Model","4a56783a-932e-4ca7-acea-af82a9fe5626"
"Other","Models","","Data Analysis","","73c1df3f-b389-4cc0-98eb-0fbc4f071f98"
"Other","Models","","ECCO2_Darwin-V3","Estimating the Circulation and Climate of the Ocean, Phase II; Darwin-V3","b35637e0-bc1f-4ecf-b5bc-c78eaeb72562"
"Other","Models","","ECMWF ERA5","ECMWF ERA5 Atmospheric Reanalysis","931c9090-2136-458b-9047-943c25c65f3a"
"Other","Models","","ECMWFIFS","ECMWF Integrated Forecast System","47ee8305-57b9-4df1-84ce-f563df48cf69"
"Other","Models","","ECMWF","European Centre for Medium-Range Weather Forecasts Model","eb6ac42f-7c8d-4e3f-9f80-e6334c463d26"
"Other","Models","","ERA15DAS","ERA15 Data Assimilation System","d022dc0f-0ce8-471a-ac6c-aabb48542cf4"
"Other","Models","","ERA40DAS","ERA40 Data Assimilation System","260c784e-c422-4279-97fa-9c7a348118fa"
